# epoch train_loss train_accuracy valid_loss valid_accuracy class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3
0.000000000000000000e+00 1.111269439458847152e+00 4.993750000000000133e-01 9.696722865104675515e-01 5.949999999999999734e-01 5.181347150259066892e-01 6.731707317073171160e-01 6.229508196721311730e-01 5.662100456621004252e-01
1.000000000000000000e+00 9.173465377092361317e-01 6.178124999999999867e-01 8.313226556777953968e-01 6.712500000000000133e-01 5.751295336787565216e-01 8.195121951219511702e-01 5.464480874316940406e-01 7.214611872146118321e-01
