# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3
3.300000000000000000e+01 8.934579771757126254e-01 7.293749999999999956e-01 6.054701107740402266e-01 7.874999999999999778e-01 1.000000000000000056e-01 8.850000000000000089e-01 9.649999999999999689e-01 5.550000000000000488e-01 7.449999999999999956e-01
3.400000000000000000e+01 9.008204412460326660e-01 7.440624999999999600e-01 6.181179505586623657e-01 7.712499999999999911e-01 1.000000000000000056e-01 9.200000000000000400e-01 9.150000000000000355e-01 4.949999999999999956e-01 7.550000000000000044e-01
3.500000000000000000e+01 8.887576252222061379e-01 7.437500000000000222e-01 5.792955595254898338e-01 7.974999999999999867e-01 1.000000000000000056e-01 9.150000000000000355e-01 9.549999999999999600e-01 5.250000000000000222e-01 7.950000000000000400e-01
3.600000000000000000e+01 8.909895044565200317e-01 7.390624999999999556e-01 5.340199005603790683e-01 8.087499999999999689e-01 1.000000000000000056e-01 7.900000000000000355e-01 9.399999999999999467e-01 8.399999999999999689e-01 6.650000000000000355e-01
3.700000000000000000e+01 8.845508927106857655e-01 7.415625000000000133e-01 5.762938761711120517e-01 7.812500000000000000e-01 1.000000000000000056e-01 9.000000000000000222e-01 8.449999999999999734e-01 6.099999999999999867e-01 7.700000000000000178e-01
3.800000000000000000e+01 8.535332119464874578e-01 7.546874999999999556e-01 5.174332600831985651e-01 8.100000000000000533e-01 1.000000000000000056e-01 7.800000000000000266e-01 9.749999999999999778e-01 7.299999999999999822e-01 7.550000000000000044e-01
3.900000000000000000e+01 8.729941415786742764e-01 7.506249999999999867e-01 5.429410314559937056e-01 8.312500000000000444e-01 1.000000000000000056e-01 8.299999999999999600e-01 9.649999999999999689e-01 6.999999999999999556e-01 8.299999999999999600e-01
4.000000000000000000e+01 8.682243382930755482e-01 7.546874999999999556e-01 6.217242243885994224e-01 7.662499999999999867e-01 1.000000000000000056e-01 5.150000000000000133e-01 9.699999999999999734e-01 8.100000000000000533e-01 7.700000000000000178e-01
4.100000000000000000e+01 8.748223161697388228e-01 7.556249999999999911e-01 5.889004966616631087e-01 7.974999999999999867e-01 1.000000000000000056e-01 8.850000000000000089e-01 9.749999999999999778e-01 6.149999999999999911e-01 7.149999999999999689e-01
4.200000000000000000e+01 8.613665509223937811e-01 7.509375000000000355e-01 5.987584412097930464e-01 7.924999999999999822e-01 1.000000000000000056e-01 9.050000000000000266e-01 9.849999999999999867e-01 5.600000000000000533e-01 7.199999999999999734e-01
4.300000000000000000e+01 8.453366172313689919e-01 7.731249999999999512e-01 4.958269798755645663e-01 8.237499999999999822e-01 1.000000000000000056e-01 7.950000000000000400e-01 9.399999999999999467e-01 7.099999999999999645e-01 8.499999999999999778e-01
4.400000000000000000e+01 8.357063353061675581e-01 7.650000000000000133e-01 6.042327207326888550e-01 8.037499999999999645e-01 1.000000000000000056e-01 9.150000000000000355e-01 9.150000000000000355e-01 7.249999999999999778e-01 6.600000000000000311e-01
4.500000000000000000e+01 8.528098320960998402e-01 7.681249999999999467e-01 4.769044002890586720e-01 8.299999999999999600e-01 1.000000000000000056e-01 8.800000000000000044e-01 9.799999999999999822e-01 6.999999999999999556e-01 7.600000000000000089e-01
4.600000000000000000e+01 8.282581156492233587e-01 7.687500000000000444e-01 5.522911596298217818e-01 8.037499999999999645e-01 1.000000000000000056e-01 9.449999999999999512e-01 9.799999999999999822e-01 5.300000000000000266e-01 7.600000000000000089e-01
4.700000000000000000e+01 8.485190474987029940e-01 7.681249999999999467e-01 4.555852156877517878e-01 8.325000000000000178e-01 1.000000000000000056e-01 8.900000000000000133e-01 9.499999999999999556e-01 6.700000000000000400e-01 8.199999999999999512e-01
4.800000000000000000e+01 8.210834169387817294e-01 7.778125000000000178e-01 4.755661273002624312e-01 8.299999999999999600e-01 1.000000000000000056e-01 8.750000000000000000e-01 9.300000000000000488e-01 7.500000000000000000e-01 7.650000000000000133e-01
4.900000000000000000e+01 8.491581642627715754e-01 7.712499999999999911e-01 5.412291991710662664e-01 8.000000000000000444e-01 1.000000000000000056e-01 8.649999999999999911e-01 9.899999999999999911e-01 4.099999999999999756e-01 9.350000000000000533e-01
5.000000000000000000e+01 8.318058001995086714e-01 7.890625000000000000e-01 5.274342396855353776e-01 8.137499999999999734e-01 1.000000000000000056e-01 8.399999999999999689e-01 9.949999999999999956e-01 5.999999999999999778e-01 8.199999999999999512e-01
5.100000000000000000e+01 8.231939679384231434e-01 7.862500000000000044e-01 5.017866289615631192e-01 8.175000000000000044e-01 1.000000000000000056e-01 8.800000000000000044e-01 9.350000000000000533e-01 7.199999999999999734e-01 7.349999999999999867e-01
5.200000000000000000e+01 8.181937915086746616e-01 7.818749999999999867e-01 5.848386812210083496e-01 7.912500000000000089e-01 1.000000000000000056e-01 9.449999999999999512e-01 9.449999999999999512e-01 4.949999999999999956e-01 7.800000000000000266e-01
5.300000000000000000e+01 8.033701503276824418e-01 7.928125000000000311e-01 4.672167506814002835e-01 8.299999999999999600e-01 1.000000000000000056e-01 7.449999999999999956e-01 9.899999999999999911e-01 8.199999999999999512e-01 7.650000000000000133e-01
5.400000000000000000e+01 8.005838286876678644e-01 7.934375000000000178e-01 7.238417190313338745e-01 7.674999999999999600e-01 1.000000000000000056e-01 9.599999999999999645e-01 9.350000000000000533e-01 6.049999999999999822e-01 5.699999999999999512e-01
5.500000000000000000e+01 7.997553354501724110e-01 7.940625000000000044e-01 4.611500772833824202e-01 8.325000000000000178e-01 1.000000000000000056e-01 9.150000000000000355e-01 9.699999999999999734e-01 6.099999999999999867e-01 8.349999999999999645e-01
5.600000000000000000e+01 7.995806866884231923e-01 7.928125000000000311e-01 4.908941447734832542e-01 8.249999999999999556e-01 1.000000000000000056e-01 6.600000000000000311e-01 9.799999999999999822e-01 8.399999999999999689e-01 8.199999999999999512e-01
5.700000000000000000e+01 7.948285871744156239e-01 8.006250000000000311e-01 4.927355217933654941e-01 8.262500000000000400e-01 1.000000000000000056e-01 8.649999999999999911e-01 9.399999999999999467e-01 8.349999999999999645e-01 6.650000000000000355e-01
5.800000000000000000e+01 8.136274349689484042e-01 7.924999999999999822e-01 4.540840852260589755e-01 8.449999999999999734e-01 1.000000000000000056e-01 8.000000000000000444e-01 9.549999999999999600e-01 8.149999999999999467e-01 8.100000000000000533e-01
5.900000000000000000e+01 7.913848561048507646e-01 8.034375000000000266e-01 4.765115934610366644e-01 8.187499999999999778e-01 1.000000000000000056e-01 9.300000000000000488e-01 9.849999999999999867e-01 7.299999999999999822e-01 6.300000000000000044e-01
6.000000000000000000e+01 7.971345543861388938e-01 8.006250000000000311e-01 4.502650147676467984e-01 8.475000000000000311e-01 1.000000000000000056e-01 9.050000000000000266e-01 9.849999999999999867e-01 8.149999999999999467e-01 6.850000000000000533e-01
6.100000000000000000e+01 7.882869768142700684e-01 8.125000000000000000e-01 4.588529422879218944e-01 8.312500000000000444e-01 1.000000000000000056e-01 7.500000000000000000e-01 9.899999999999999911e-01 7.750000000000000222e-01 8.100000000000000533e-01
6.200000000000000000e+01 7.899823319911957187e-01 8.003124999999999822e-01 4.292370462417602339e-01 8.587500000000000133e-01 1.000000000000000056e-01 8.599999999999999867e-01 9.649999999999999689e-01 7.500000000000000000e-01 8.599999999999999867e-01
6.300000000000000000e+01 7.874592250585555897e-01 7.921875000000000444e-01 5.835374081134796498e-01 8.100000000000000533e-01 1.000000000000000056e-01 9.399999999999999467e-01 9.749999999999999778e-01 7.199999999999999734e-01 6.049999999999999822e-01
6.400000000000000000e+01 7.893345427513122070e-01 8.131249999999999867e-01 4.643803331255912936e-01 8.299999999999999600e-01 1.000000000000000056e-01 7.950000000000000400e-01 9.899999999999999911e-01 7.449999999999999956e-01 7.900000000000000355e-01
6.500000000000000000e+01 7.988591182231903343e-01 7.950000000000000400e-01 5.607198700308799744e-01 8.037499999999999645e-01 1.000000000000000056e-01 9.050000000000000266e-01 9.849999999999999867e-01 5.899999999999999689e-01 7.349999999999999867e-01
6.600000000000000000e+01 7.967657566070556197e-01 7.987499999999999600e-01 4.046873694658279508e-01 8.475000000000000311e-01 1.000000000000000056e-01 8.699999999999999956e-01 9.449999999999999512e-01 6.949999999999999512e-01 8.800000000000000044e-01
6.700000000000000000e+01 7.878599578142165827e-01 8.084375000000000311e-01 5.616865834593772755e-01 7.950000000000000400e-01 1.000000000000000056e-01 8.149999999999999467e-01 9.399999999999999467e-01 4.550000000000000155e-01 9.699999999999999734e-01
6.800000000000000000e+01 7.689405596256255748e-01 8.187499999999999778e-01 5.048908013105392056e-01 8.187499999999999778e-01 1.000000000000000056e-01 5.949999999999999734e-01 9.699999999999999734e-01 8.549999999999999822e-01 8.549999999999999822e-01
6.900000000000000000e+01 7.716488742828369052e-01 8.090625000000000178e-01 4.608535259962082131e-01 8.399999999999999689e-01 1.000000000000000056e-01 9.100000000000000311e-01 9.599999999999999645e-01 6.850000000000000533e-01 8.050000000000000488e-01
7.000000000000000000e+01 7.692760872840881392e-01 8.187499999999999778e-01 4.747240006923675315e-01 8.475000000000000311e-01 1.000000000000000056e-01 9.549999999999999600e-01 9.499999999999999556e-01 6.800000000000000488e-01 8.050000000000000488e-01
7.100000000000000000e+01 7.574586004018784013e-01 8.281250000000000000e-01 4.329893255233764893e-01 8.375000000000000222e-01 1.000000000000000056e-01 8.549999999999999822e-01 9.250000000000000444e-01 6.550000000000000266e-01 9.150000000000000355e-01
7.200000000000000000e+01 7.652936744689941007e-01 8.243749999999999689e-01 4.880016946792602450e-01 8.287499999999999867e-01 1.000000000000000056e-01 9.399999999999999467e-01 9.699999999999999734e-01 4.949999999999999956e-01 9.100000000000000311e-01
7.300000000000000000e+01 7.550468975305557606e-01 8.306249999999999467e-01 4.774042266607284590e-01 8.249999999999999556e-01 1.000000000000000056e-01 8.000000000000000444e-01 9.799999999999999822e-01 5.999999999999999778e-01 9.200000000000000400e-01
7.400000000000000000e+01 7.468209969997405828e-01 8.293749999999999734e-01 4.461667108535766757e-01 8.525000000000000355e-01 1.000000000000000056e-01 8.399999999999999689e-01 9.449999999999999512e-01 8.549999999999999822e-01 7.700000000000000178e-01
7.500000000000000000e+01 7.702971899509429843e-01 8.071874999999999467e-01 4.206672540307044850e-01 8.475000000000000311e-01 1.000000000000000056e-01 8.349999999999999645e-01 9.799999999999999822e-01 7.399999999999999911e-01 8.349999999999999645e-01
7.600000000000000000e+01 7.398094928264618009e-01 8.359375000000000000e-01 4.184447237849235335e-01 8.549999999999999822e-01 1.000000000000000056e-01 9.100000000000000311e-01 9.749999999999999778e-01 7.500000000000000000e-01 7.850000000000000311e-01
7.700000000000000000e+01 7.565597885847091808e-01 8.206250000000000488e-01 4.542942389845848195e-01 8.362500000000000488e-01 1.000000000000000056e-01 7.099999999999999645e-01 9.899999999999999911e-01 7.249999999999999778e-01 9.200000000000000400e-01
7.800000000000000000e+01 7.515629428625106856e-01 8.225000000000000089e-01 4.908609801530838257e-01 8.425000000000000266e-01 1.000000000000000056e-01 9.300000000000000488e-01 9.799999999999999822e-01 7.600000000000000089e-01 6.999999999999999556e-01
7.900000000000000000e+01 7.371161574125290050e-01 8.290625000000000355e-01 4.280500370264053167e-01 8.649999999999999911e-01 1.000000000000000056e-01 9.399999999999999467e-01 9.749999999999999778e-01 7.099999999999999645e-01 8.349999999999999645e-01
8.000000000000000000e+01 7.192635083198547497e-01 8.393749999999999822e-01 3.747699707746505737e-01 8.774999999999999467e-01 1.000000000000000194e-02 9.399999999999999467e-01 9.899999999999999911e-01 7.299999999999999822e-01 8.499999999999999778e-01
8.100000000000000000e+01 7.173708111047745195e-01 8.487500000000000044e-01 3.810851311683654541e-01 8.787500000000000311e-01 1.000000000000000194e-02 9.100000000000000311e-01 9.949999999999999956e-01 7.950000000000000400e-01 8.149999999999999467e-01
8.200000000000000000e+01 7.144819808006286355e-01 8.512499999999999512e-01 3.735238227248192100e-01 8.737500000000000266e-01 1.000000000000000194e-02 9.050000000000000266e-01 9.899999999999999911e-01 7.399999999999999911e-01 8.599999999999999867e-01
8.300000000000000000e+01 7.043528744578361200e-01 8.549999999999999822e-01 3.780905330181121848e-01 8.787500000000000311e-01 1.000000000000000194e-02 9.350000000000000533e-01 9.849999999999999867e-01 7.500000000000000000e-01 8.449999999999999734e-01
8.400000000000000000e+01 7.141338998079299616e-01 8.518750000000000488e-01 3.732865753769874506e-01 8.762499999999999734e-01 1.000000000000000194e-02 9.200000000000000400e-01 9.899999999999999911e-01 7.349999999999999867e-01 8.599999999999999867e-01
8.500000000000000000e+01 6.888783600926399187e-01 8.568750000000000533e-01 3.707135036587715371e-01 8.837500000000000355e-01 1.000000000000000194e-02 9.250000000000000444e-01 9.899999999999999911e-01 7.750000000000000222e-01 8.449999999999999734e-01
8.600000000000000000e+01 6.955695092678070290e-01 8.515625000000000000e-01 3.729971361160278054e-01 8.774999999999999467e-01 1.000000000000000194e-02 9.350000000000000533e-01 9.849999999999999867e-01 7.199999999999999734e-01 8.699999999999999956e-01
8.700000000000000000e+01 7.001704388856887507e-01 8.587500000000000133e-01 3.728152310848236173e-01 8.774999999999999467e-01 1.000000000000000194e-02 9.250000000000000444e-01 9.899999999999999911e-01 7.399999999999999911e-01 8.549999999999999822e-01
8.800000000000000000e+01 7.208675771951675859e-01 8.431250000000000133e-01 3.895783278346061640e-01 8.687500000000000222e-01 1.000000000000000194e-02 9.250000000000000444e-01 9.899999999999999911e-01 6.850000000000000533e-01 8.750000000000000000e-01
