# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
0.000000000000000000e+00 2.172547891135407916e+00 2.108200000000000074e-01 4.013379866322770440e+00 1.812000000000000000e-01 1.000000000000000056e-01 1.079999999999999988e-01 4.789999999999999813e-01 0.000000000000000000e+00 8.999999999999999320e-03 5.899999999999999689e-02 6.850000000000000533e-01 0.000000000000000000e+00 4.179999999999999827e-01 5.099999999999999672e-02 3.000000000000000062e-03
1.000000000000000000e+00 1.980523098987108321e+00 3.090200000000000169e-01 3.940074036296564053e+00 1.937000000000000111e-01 1.000000000000000056e-01 1.620000000000000051e-01 4.000000000000000083e-03 5.000000000000000104e-03 0.000000000000000000e+00 6.000000000000000125e-03 6.680000000000000382e-01 1.700000000000000122e-02 6.009999999999999787e-01 0.000000000000000000e+00 4.739999999999999769e-01
2.000000000000000000e+00 1.849231184634808400e+00 3.773199999999999887e-01 3.521756175607918760e+00 3.033000000000000140e-01 1.000000000000000056e-01 2.330000000000000127e-01 1.970000000000000084e-01 3.639999999999999902e-01 2.169999999999999984e-01 4.499999999999999833e-02 5.649999999999999467e-01 2.750000000000000222e-01 3.679999999999999938e-01 6.780000000000000471e-01 9.099999999999999756e-02
3.000000000000000000e+00 1.757214191931604441e+00 4.255200000000000093e-01 2.690840648386044087e+00 4.123999999999999888e-01 1.000000000000000056e-01 4.309999999999999942e-01 7.159999999999999698e-01 1.890000000000000013e-01 5.000000000000000104e-03 2.919999999999999818e-01 3.860000000000000098e-01 4.849999999999999867e-01 6.710000000000000409e-01 2.000000000000000111e-01 7.489999999999999991e-01
4.000000000000000000e+00 1.691997737283517544e+00 4.587600000000000011e-01 7.200639148870596529e+00 2.927000000000000157e-01 1.000000000000000056e-01 4.079999999999999738e-01 9.659999999999999698e-01 1.250000000000000000e-01 5.500000000000000028e-02 4.100000000000000172e-02 7.199999999999999456e-02 4.959999999999999964e-01 2.660000000000000142e-01 3.519999999999999796e-01 1.459999999999999909e-01
