# epoch train_loss train_accuracy valid_loss valid_accuracy class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3
1.400000000000000000e+01 4.229325433075428187e-01 8.368750000000000355e-01 5.427002429962157759e-01 7.950000000000000400e-01 8.299999999999999600e-01 9.200000000000000400e-01 6.949999999999999512e-01 7.349999999999999867e-01
1.500000000000000000e+01 4.024831427633762115e-01 8.471874999999999822e-01 5.834052431583404141e-01 7.737500000000000488e-01 7.249999999999999778e-01 9.100000000000000311e-01 6.600000000000000311e-01 8.000000000000000444e-01
1.600000000000000000e+01 3.862555067241191797e-01 8.553125000000000311e-01 6.394431233406067117e-01 7.600000000000000089e-01 7.800000000000000266e-01 9.350000000000000533e-01 5.799999999999999600e-01 7.449999999999999956e-01
1.700000000000000000e+01 3.851263902336359291e-01 8.465624999999999956e-01 6.938070821762084561e-01 7.824999999999999734e-01 8.000000000000000444e-01 9.749999999999999778e-01 6.400000000000000133e-01 7.149999999999999689e-01
1.800000000000000000e+01 3.581098955869674860e-01 8.584374999999999645e-01 6.140258407592773526e-01 7.637500000000000400e-01 6.899999999999999467e-01 9.499999999999999556e-01 8.100000000000000533e-01 6.049999999999999822e-01
1.900000000000000000e+01 3.221954457461834176e-01 8.784374999999999822e-01 5.967087352275848300e-01 7.937499999999999556e-01 7.500000000000000000e-01 9.399999999999999467e-01 7.049999999999999600e-01 7.800000000000000266e-01
2.000000000000000000e+01 3.522770450264215425e-01 8.646875000000000533e-01 5.337965512275695268e-01 7.974999999999999867e-01 8.299999999999999600e-01 9.000000000000000222e-01 6.700000000000000400e-01 7.900000000000000355e-01
2.100000000000000000e+01 3.205987539887428239e-01 8.690624999999999600e-01 6.447040355205535533e-01 7.600000000000000089e-01 8.649999999999999911e-01 9.300000000000000488e-01 8.199999999999999512e-01 4.249999999999999889e-01
2.200000000000000000e+01 3.150345788151025506e-01 8.768749999999999600e-01 6.038291847705841153e-01 7.874999999999999778e-01 8.399999999999999689e-01 8.649999999999999911e-01 6.250000000000000000e-01 8.199999999999999512e-01
2.300000000000000000e+01 2.893739173561334366e-01 8.874999999999999556e-01 5.163547599315643222e-01 8.012500000000000178e-01 7.399999999999999911e-01 9.549999999999999600e-01 7.650000000000000133e-01 7.449999999999999956e-01
2.400000000000000000e+01 2.871556732058525019e-01 8.846874999999999600e-01 5.142386418581008645e-01 7.937499999999999556e-01 7.349999999999999867e-01 9.449999999999999512e-01 7.500000000000000000e-01 7.449999999999999956e-01
2.500000000000000000e+01 2.796806162968277776e-01 8.921875000000000222e-01 5.192779016494750710e-01 8.125000000000000000e-01 8.399999999999999689e-01 9.499999999999999556e-01 7.800000000000000266e-01 6.800000000000000488e-01
2.600000000000000000e+01 2.507549134641886002e-01 8.962499999999999911e-01 6.913381206989288597e-01 7.887499999999999512e-01 8.399999999999999689e-01 9.150000000000000355e-01 5.150000000000000133e-01 8.850000000000000089e-01
2.700000000000000000e+01 2.374790371954441093e-01 9.115625000000000533e-01 5.292063367366790505e-01 8.175000000000000044e-01 8.349999999999999645e-01 9.549999999999999600e-01 7.299999999999999822e-01 7.500000000000000000e-01
2.800000000000000000e+01 2.249460185319185346e-01 9.137499999999999512e-01 6.012199139595031383e-01 8.024999999999999911e-01 7.449999999999999956e-01 9.250000000000000444e-01 6.800000000000000488e-01 8.599999999999999867e-01
2.900000000000000000e+01 2.315747892111539863e-01 9.103124999999999689e-01 5.359982019662856700e-01 8.149999999999999467e-01 8.649999999999999911e-01 9.449999999999999512e-01 7.049999999999999600e-01 7.449999999999999956e-01
3.000000000000000000e+01 2.159836512804031439e-01 9.184375000000000178e-01 6.178154242038726984e-01 7.837499999999999467e-01 7.800000000000000266e-01 9.100000000000000311e-01 6.600000000000000311e-01 7.850000000000000311e-01
3.100000000000000000e+01 2.009442247077822818e-01 9.259374999999999689e-01 6.999643325805664507e-01 7.787500000000000533e-01 8.950000000000000178e-01 9.200000000000000400e-01 5.350000000000000311e-01 7.650000000000000133e-01
3.200000000000000000e+01 2.008190697059035190e-01 9.228125000000000355e-01 8.036770534515380593e-01 7.587500000000000355e-01 8.750000000000000000e-01 9.150000000000000355e-01 7.750000000000000222e-01 4.699999999999999734e-01
3.300000000000000000e+01 1.843094285577535629e-01 9.287499999999999645e-01 5.542380005121231301e-01 8.037499999999999645e-01 7.850000000000000311e-01 9.549999999999999600e-01 6.450000000000000178e-01 8.299999999999999600e-01
3.400000000000000000e+01 1.860583409294486179e-01 9.284375000000000266e-01 5.940795409679412442e-01 8.050000000000000488e-01 7.500000000000000000e-01 9.649999999999999689e-01 7.099999999999999645e-01 7.950000000000000400e-01
3.500000000000000000e+01 1.926928647235035819e-01 9.259374999999999689e-01 6.809615468978882369e-01 7.987499999999999600e-01 7.850000000000000311e-01 9.100000000000000311e-01 7.850000000000000311e-01 7.149999999999999689e-01
3.600000000000000000e+01 1.644115612283348904e-01 9.353124999999999911e-01 5.732506406307220637e-01 8.149999999999999467e-01 8.599999999999999867e-01 9.200000000000000400e-01 6.450000000000000178e-01 8.349999999999999645e-01
3.700000000000000000e+01 1.817893839068710771e-01 9.312500000000000222e-01 5.998792278766632569e-01 8.087499999999999689e-01 8.100000000000000533e-01 9.350000000000000533e-01 6.149999999999999911e-01 8.750000000000000000e-01
3.800000000000000000e+01 1.461166577972471681e-01 9.437499999999999778e-01 6.433207118511199418e-01 8.100000000000000533e-01 8.349999999999999645e-01 9.649999999999999689e-01 5.799999999999999600e-01 8.599999999999999867e-01
3.900000000000000000e+01 1.460473265871405635e-01 9.459374999999999867e-01 5.954066300392151234e-01 8.125000000000000000e-01 8.100000000000000533e-01 9.250000000000000444e-01 6.450000000000000178e-01 8.699999999999999956e-01
4.000000000000000000e+01 1.376504444144666106e-01 9.481249999999999956e-01 5.358447176218033015e-01 8.262500000000000400e-01 8.549999999999999822e-01 9.399999999999999467e-01 7.149999999999999689e-01 7.950000000000000400e-01
4.100000000000000000e+01 1.212535872869193593e-01 9.537499999999999867e-01 6.589328610897063898e-01 7.987499999999999600e-01 7.449999999999999956e-01 9.150000000000000355e-01 6.949999999999999512e-01 8.399999999999999689e-01
4.200000000000000000e+01 1.347813145630061549e-01 9.468750000000000222e-01 7.015037930011749356e-01 8.000000000000000444e-01 7.850000000000000311e-01 9.749999999999999778e-01 5.899999999999999689e-01 8.499999999999999778e-01
4.300000000000000000e+01 1.360136813484132401e-01 9.525000000000000133e-01 6.620038127899170455e-01 8.012500000000000178e-01 7.149999999999999689e-01 9.350000000000000533e-01 7.149999999999999689e-01 8.399999999999999689e-01
4.400000000000000000e+01 1.100485794432461278e-01 9.596875000000000266e-01 6.283422020077705783e-01 8.112500000000000266e-01 8.299999999999999600e-01 9.449999999999999512e-01 6.800000000000000488e-01 7.900000000000000355e-01
4.500000000000000000e+01 1.304627539310604378e-01 9.509374999999999911e-01 6.528599303960800349e-01 8.112500000000000266e-01 8.800000000000000044e-01 9.549999999999999600e-01 6.949999999999999512e-01 7.149999999999999689e-01
4.600000000000000000e+01 1.248663025256246395e-01 9.503125000000000044e-01 5.943963503837585982e-01 8.349999999999999645e-01 8.499999999999999778e-01 9.549999999999999600e-01 7.049999999999999600e-01 8.299999999999999600e-01
4.700000000000000000e+01 1.148037326149642517e-01 9.587499999999999911e-01 6.427691179513931319e-01 8.087499999999999689e-01 8.050000000000000488e-01 9.350000000000000533e-01 6.949999999999999512e-01 8.000000000000000444e-01
4.800000000000000000e+01 1.200656693056225827e-01 9.568750000000000311e-01 6.327552461624145197e-01 8.074999999999999956e-01 7.650000000000000133e-01 9.649999999999999689e-01 7.249999999999999778e-01 7.750000000000000222e-01
4.900000000000000000e+01 7.801863715518266018e-02 9.737500000000000044e-01 6.319168043136597079e-01 8.125000000000000000e-01 7.449999999999999956e-01 9.749999999999999778e-01 6.850000000000000533e-01 8.449999999999999734e-01
5.000000000000000000e+01 1.179502407088875715e-01 9.521874999999999645e-01 7.036312174797058061e-01 8.125000000000000000e-01 8.399999999999999689e-01 9.799999999999999822e-01 8.249999999999999556e-01 6.049999999999999822e-01
5.100000000000000000e+01 9.092491758987307493e-02 9.671874999999999778e-01 6.127200102806091842e-01 8.237499999999999822e-01 8.649999999999999911e-01 9.649999999999999689e-01 7.149999999999999689e-01 7.500000000000000000e-01
5.200000000000000000e+01 7.900145940948277712e-02 9.737500000000000044e-01 5.895834928750991466e-01 8.462499999999999467e-01 8.649999999999999911e-01 8.950000000000000178e-01 7.500000000000000000e-01 8.750000000000000000e-01
5.300000000000000000e+01 5.878216444049030875e-02 9.796875000000000444e-01 7.132512581348419145e-01 8.074999999999999956e-01 7.850000000000000311e-01 9.250000000000000444e-01 7.299999999999999822e-01 7.900000000000000355e-01
5.400000000000000000e+01 7.255689707119017395e-02 9.740625000000000533e-01 6.265980952978134066e-01 8.225000000000000089e-01 7.700000000000000178e-01 9.449999999999999512e-01 8.000000000000000444e-01 7.750000000000000222e-01
5.500000000000000000e+01 7.265217827167362585e-02 9.728124999999999689e-01 8.367077410221099854e-01 8.037499999999999645e-01 7.399999999999999911e-01 9.000000000000000222e-01 6.999999999999999556e-01 8.750000000000000000e-01
5.600000000000000000e+01 8.857573655899614318e-02 9.668750000000000400e-01 6.634364539384841608e-01 8.175000000000000044e-01 7.449999999999999956e-01 9.599999999999999645e-01 8.000000000000000444e-01 7.650000000000000133e-01
5.700000000000000000e+01 9.178367612883447935e-02 9.640625000000000444e-01 5.970514148473740068e-01 8.225000000000000089e-01 8.950000000000000178e-01 9.300000000000000488e-01 7.199999999999999734e-01 7.449999999999999956e-01
5.800000000000000000e+01 7.272450378630310186e-02 9.740625000000000533e-01 6.882289546728134200e-01 8.137499999999999734e-01 8.100000000000000533e-01 9.649999999999999689e-01 7.049999999999999600e-01 7.750000000000000222e-01
5.900000000000000000e+01 7.474701065570116265e-02 9.712499999999999467e-01 6.018239825963973555e-01 8.449999999999999734e-01 8.349999999999999645e-01 9.549999999999999600e-01 7.650000000000000133e-01 8.249999999999999556e-01
6.000000000000000000e+01 5.938133154530077923e-02 9.793749999999999956e-01 6.879432129859924805e-01 8.149999999999999467e-01 8.399999999999999689e-01 9.250000000000000444e-01 6.550000000000000266e-01 8.399999999999999689e-01
6.100000000000000000e+01 6.601925853174180070e-02 9.796875000000000444e-01 6.408258324861526578e-01 8.337499999999999911e-01 8.399999999999999689e-01 9.599999999999999645e-01 6.949999999999999512e-01 8.399999999999999689e-01
6.200000000000000000e+01 6.694249462918377969e-02 9.775000000000000355e-01 7.555901920795440319e-01 8.312500000000000444e-01 8.750000000000000000e-01 9.699999999999999734e-01 7.449999999999999956e-01 7.349999999999999867e-01
6.300000000000000000e+01 5.848965018056333232e-02 9.809375000000000178e-01 6.624457883834838912e-01 8.299999999999999600e-01 8.449999999999999734e-01 9.399999999999999467e-01 6.800000000000000488e-01 8.549999999999999822e-01
6.400000000000000000e+01 5.335273898439481938e-02 9.793749999999999956e-01 6.034498727321624401e-01 8.262500000000000400e-01 8.299999999999999600e-01 9.449999999999999512e-01 7.149999999999999689e-01 8.149999999999999467e-01
6.500000000000000000e+01 5.999969421885907594e-02 9.812499999999999556e-01 7.052379220724105391e-01 8.187499999999999778e-01 7.199999999999999734e-01 9.300000000000000488e-01 7.950000000000000400e-01 8.299999999999999600e-01
6.600000000000000000e+01 4.778887600172310873e-02 9.825000000000000400e-01 7.356958287954330489e-01 8.187499999999999778e-01 8.199999999999999512e-01 9.699999999999999734e-01 6.350000000000000089e-01 8.499999999999999778e-01
6.700000000000000000e+01 4.871161943301558633e-02 9.828124999999999778e-01 7.259333217144012806e-01 8.162500000000000311e-01 7.800000000000000266e-01 9.499999999999999556e-01 7.500000000000000000e-01 7.850000000000000311e-01
6.800000000000000000e+01 3.901846585446037269e-02 9.868749999999999467e-01 6.332877945899962890e-01 8.187499999999999778e-01 8.399999999999999689e-01 9.449999999999999512e-01 7.449999999999999956e-01 7.449999999999999956e-01
6.900000000000000000e+01 4.136696809204295361e-02 9.856249999999999734e-01 6.640946917235851510e-01 8.337499999999999911e-01 8.649999999999999911e-01 9.549999999999999600e-01 7.149999999999999689e-01 8.000000000000000444e-01
7.000000000000000000e+01 3.899320215568877895e-02 9.868749999999999467e-01 6.501418733596802113e-01 8.399999999999999689e-01 8.499999999999999778e-01 9.499999999999999556e-01 7.850000000000000311e-01 7.750000000000000222e-01
7.100000000000000000e+01 4.454986248165369173e-02 9.846875000000000488e-01 7.689482408761978416e-01 8.225000000000000089e-01 7.950000000000000400e-01 9.599999999999999645e-01 6.750000000000000444e-01 8.599999999999999867e-01
7.200000000000000000e+01 3.973345034522935554e-02 9.856249999999999734e-01 6.482183128595352395e-01 8.299999999999999600e-01 8.399999999999999689e-01 9.449999999999999512e-01 7.199999999999999734e-01 8.149999999999999467e-01
7.300000000000000000e+01 4.396594928344711717e-02 9.849999999999999867e-01 6.368202918767928988e-01 8.399999999999999689e-01 8.549999999999999822e-01 9.599999999999999645e-01 7.700000000000000178e-01 7.750000000000000222e-01
7.400000000000000000e+01 4.655244779773056590e-02 9.843750000000000000e-01 7.294756931066512795e-01 8.325000000000000178e-01 8.149999999999999467e-01 9.399999999999999467e-01 7.399999999999999911e-01 8.349999999999999645e-01
7.500000000000000000e+01 4.889818744035437370e-02 9.821874999999999911e-01 6.679363560676574441e-01 8.362500000000000488e-01 8.100000000000000533e-01 9.399999999999999467e-01 7.850000000000000311e-01 8.100000000000000533e-01
7.600000000000000000e+01 5.629855616833083498e-02 9.818750000000000533e-01 6.620909035205840842e-01 8.325000000000000178e-01 7.800000000000000266e-01 9.749999999999999778e-01 8.149999999999999467e-01 7.600000000000000089e-01
