# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate pruning class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
1.100000000000000000e+01 1.226783305425637849e+00 6.942000000000000393e-01 7.122362640242987375e-01 7.661000000000000032e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.520000000000000018e-01 9.100000000000000311e-01 6.310000000000000053e-01 6.600000000000000311e-01 6.320000000000000062e-01 7.059999999999999609e-01 7.800000000000000266e-01 8.359999999999999654e-01 9.409999999999999476e-01 8.129999999999999449e-01
1.200000000000000000e+01 1.209522476084935461e+00 7.042599999999999971e-01 7.584317123737579491e-01 7.471999999999999753e-01 1.000000000000000056e-01 0.000000000000000000e+00 5.560000000000000497e-01 7.980000000000000426e-01 6.770000000000000462e-01 3.760000000000000009e-01 7.469999999999999973e-01 7.489999999999999991e-01 9.519999999999999574e-01 8.399999999999999689e-01 8.659999999999999920e-01 9.110000000000000320e-01
1.300000000000000000e+01 1.187595246849499464e+00 7.113800000000000123e-01 6.382168191499983934e-01 7.945999999999999730e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.740000000000000213e-01 8.920000000000000151e-01 6.949999999999999512e-01 5.739999999999999547e-01 7.570000000000000062e-01 7.510000000000000009e-01 8.649999999999999911e-01 8.050000000000000488e-01 9.220000000000000417e-01 9.110000000000000320e-01
1.400000000000000000e+01 1.177759759142394280e+00 7.203600000000000003e-01 6.387506207338156106e-01 7.895999999999999686e-01 1.000000000000000056e-01 0.000000000000000000e+00 6.550000000000000266e-01 8.659999999999999920e-01 7.049999999999999600e-01 6.179999999999999938e-01 6.810000000000000497e-01 7.319999999999999840e-01 8.950000000000000178e-01 8.709999999999999964e-01 9.519999999999999574e-01 9.210000000000000409e-01
1.500000000000000000e+01 1.163682766968976656e+00 7.251800000000000468e-01 6.361191824030952846e-01 7.942000000000000171e-01 1.000000000000000056e-01 0.000000000000000000e+00 6.909999999999999476e-01 9.559999999999999609e-01 7.800000000000000266e-01 5.060000000000000053e-01 7.409999999999999920e-01 7.960000000000000409e-01 8.199999999999999512e-01 8.860000000000000098e-01 8.760000000000000009e-01 8.900000000000000133e-01
1.600000000000000000e+01 1.148795943762046523e+00 7.316599999999999770e-01 6.599520275387139590e-01 7.811000000000000165e-01 1.000000000000000056e-01 0.000000000000000000e+00 6.580000000000000293e-01 8.940000000000000169e-01 7.049999999999999600e-01 6.530000000000000249e-01 7.990000000000000435e-01 8.080000000000000515e-01 6.899999999999999467e-01 7.730000000000000204e-01 8.790000000000000036e-01 9.519999999999999574e-01
1.700000000000000000e+01 1.145107205563909547e+00 7.368000000000000105e-01 6.039130364458400457e-01 8.037999999999999590e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.729999999999999982e-01 9.619999999999999662e-01 7.219999999999999751e-01 6.380000000000000115e-01 8.159999999999999476e-01 7.469999999999999973e-01 7.720000000000000195e-01 8.399999999999999689e-01 8.699999999999999956e-01 7.980000000000000426e-01
1.800000000000000000e+01 1.134999246644577076e+00 7.388799999999999812e-01 6.209091027133381013e-01 8.017999999999999572e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.449999999999999734e-01 9.190000000000000391e-01 7.900000000000000355e-01 6.949999999999999512e-01 7.760000000000000231e-01 4.729999999999999760e-01 8.189999999999999503e-01 8.890000000000000124e-01 8.920000000000000151e-01 9.200000000000000400e-01
1.900000000000000000e+01 1.125754363706153116e+00 7.441200000000000037e-01 6.107553329330663860e-01 8.016999999999999682e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.389999999999999680e-01 9.799999999999999822e-01 6.640000000000000346e-01 5.120000000000000107e-01 8.459999999999999742e-01 7.059999999999999609e-01 8.359999999999999654e-01 9.360000000000000542e-01 8.920000000000000151e-01 8.060000000000000497e-01
2.000000000000000000e+01 1.116368036962668953e+00 7.485800000000000232e-01 6.053632408285293254e-01 8.038999999999999480e-01 1.000000000000000056e-01 0.000000000000000000e+00 6.750000000000000444e-01 8.960000000000000187e-01 7.850000000000000311e-01 5.679999999999999494e-01 6.919999999999999485e-01 8.159999999999999476e-01 8.900000000000000133e-01 9.090000000000000302e-01 9.469999999999999529e-01 8.609999999999999876e-01
