# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
1.400000000000000000e+01 7.422889958797779242e-01 7.405399999999999761e-01 5.205312021338520667e-01 8.214000000000000190e-01 1.000000000000000056e-01 7.770000000000000240e-01 9.340000000000000524e-01 6.229999999999999982e-01 5.160000000000000142e-01 8.669999999999999929e-01 8.840000000000000080e-01 7.860000000000000320e-01 9.350000000000000533e-01 9.509999999999999565e-01 9.409999999999999476e-01
1.500000000000000000e+01 7.242772154657793893e-01 7.473199999999999843e-01 4.335069473797140138e-01 8.524000000000000465e-01 1.000000000000000056e-01 8.719999999999999973e-01 9.669999999999999707e-01 6.929999999999999494e-01 6.530000000000000249e-01 8.990000000000000213e-01 7.670000000000000151e-01 9.220000000000000417e-01 8.679999999999999938e-01 9.469999999999999529e-01 9.360000000000000542e-01
1.600000000000000000e+01 7.042604112998842592e-01 7.557199999999999473e-01 4.098420186212268224e-01 8.569999999999999840e-01 1.000000000000000056e-01 8.619999999999999885e-01 9.100000000000000311e-01 7.179999999999999716e-01 7.680000000000000160e-01 8.609999999999999876e-01 7.520000000000000018e-01 8.679999999999999938e-01 9.160000000000000364e-01 9.519999999999999574e-01 9.629999999999999671e-01
1.700000000000000000e+01 6.821238627169884383e-01 7.633400000000000185e-01 4.172339531512687105e-01 8.548000000000000043e-01 1.000000000000000056e-01 8.070000000000000506e-01 9.689999999999999725e-01 9.040000000000000258e-01 5.699999999999999512e-01 8.369999999999999662e-01 8.489999999999999769e-01 8.319999999999999618e-01 8.930000000000000160e-01 9.509999999999999565e-01 9.360000000000000542e-01
1.800000000000000000e+01 6.635053403203637901e-01 7.693799999999999528e-01 3.694905192374040581e-01 8.763999999999999568e-01 1.000000000000000056e-01 8.639999999999999902e-01 9.120000000000000329e-01 8.030000000000000471e-01 7.349999999999999867e-01 8.940000000000000169e-01 8.020000000000000462e-01 9.389999999999999458e-01 8.910000000000000142e-01 9.599999999999999645e-01 9.639999999999999680e-01
1.900000000000000000e+01 6.474443196544873436e-01 7.736800000000000344e-01 3.941720296114016864e-01 8.653999999999999471e-01 1.000000000000000056e-01 8.429999999999999716e-01 9.859999999999999876e-01 8.030000000000000471e-01 7.379999999999999893e-01 8.589999999999999858e-01 8.669999999999999929e-01 8.499999999999999778e-01 8.890000000000000124e-01 8.850000000000000089e-01 9.340000000000000524e-01
2.000000000000000000e+01 6.324738679466839208e-01 7.786999999999999478e-01 3.472320363520624009e-01 8.817000000000000393e-01 1.000000000000000056e-01 8.689999999999999947e-01 9.759999999999999787e-01 8.900000000000000133e-01 7.740000000000000213e-01 8.649999999999999911e-01 7.880000000000000338e-01 9.160000000000000364e-01 8.629999999999999893e-01 9.469999999999999529e-01 9.290000000000000480e-01
2.100000000000000000e+01 6.204959297992446166e-01 7.834799999999999542e-01 3.724268870041393398e-01 8.737000000000000322e-01 1.000000000000000056e-01 8.780000000000000027e-01 9.629999999999999671e-01 8.800000000000000044e-01 5.440000000000000391e-01 8.830000000000000071e-01 8.599999999999999867e-01 9.130000000000000338e-01 9.399999999999999467e-01 9.559999999999999609e-01 9.200000000000000400e-01
2.200000000000000000e+01 6.022856921071969571e-01 7.882200000000000317e-01 3.764828060524532116e-01 8.710999999999999854e-01 1.000000000000000056e-01 8.990000000000000213e-01 9.529999999999999583e-01 8.760000000000000009e-01 8.219999999999999529e-01 8.880000000000000115e-01 6.019999999999999796e-01 8.850000000000000089e-01 8.639999999999999902e-01 9.689999999999999725e-01 9.529999999999999583e-01
2.300000000000000000e+01 5.903736397538212888e-01 7.924600000000000533e-01 3.485932895027029632e-01 8.803999999999999604e-01 1.000000000000000056e-01 8.529999999999999805e-01 9.669999999999999707e-01 8.409999999999999698e-01 7.079999999999999627e-01 9.579999999999999627e-01 8.509999999999999787e-01 8.629999999999999893e-01 8.970000000000000195e-01 9.210000000000000409e-01 9.449999999999999512e-01
