# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate pruning class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
1.100000000000000000e+01 9.060853214044259918e-01 8.367400000000000393e-01 3.367310025202580603e-01 9.104999999999999760e-01 1.000000000000000021e-02 8.810699499093525011e-01 9.170000000000000373e-01 9.679999999999999716e-01 9.010000000000000231e-01 7.940000000000000391e-01 8.940000000000000169e-01 8.669999999999999929e-01 9.389999999999999458e-01 9.399999999999999467e-01 9.449999999999999512e-01 9.399999999999999467e-01
1.200000000000000000e+01 8.098986041294178317e-01 8.711799999999999544e-01 3.082707738771606198e-01 9.202000000000000179e-01 1.000000000000000021e-02 8.810699499093525011e-01 9.330000000000000515e-01 9.659999999999999698e-01 9.020000000000000240e-01 8.000000000000000444e-01 9.200000000000000400e-01 8.910000000000000142e-01 9.479999999999999538e-01 9.449999999999999512e-01 9.529999999999999583e-01 9.439999999999999503e-01
1.300000000000000000e+01 1.116270414545836642e+00 7.513400000000000079e-01 4.307264920335989178e-01 8.751999999999999780e-01 1.000000000000000021e-02 9.163134041352627435e-01 8.850000000000000089e-01 9.489999999999999547e-01 8.469999999999999751e-01 7.560000000000000053e-01 8.389999999999999680e-01 8.139999999999999458e-01 9.160000000000000364e-01 9.160000000000000364e-01 9.379999999999999449e-01 8.920000000000000151e-01
1.400000000000000000e+01 9.210102660718516576e-01 8.292199999999999571e-01 3.730213659735152620e-01 8.951999999999999957e-01 1.000000000000000021e-02 9.163134041352627435e-01 9.180000000000000382e-01 9.629999999999999671e-01 8.479999999999999760e-01 7.760000000000000231e-01 8.669999999999999929e-01 8.559999999999999831e-01 9.439999999999999503e-01 9.270000000000000462e-01 9.439999999999999503e-01 9.090000000000000302e-01
1.500000000000000000e+01 1.356254352336500268e+00 6.399799999999999933e-01 6.033726345997648677e-01 8.117999999999999661e-01 1.000000000000000021e-02 9.409837065600309414e-01 8.339999999999999636e-01 9.310000000000000497e-01 6.700000000000000400e-01 5.560000000000000497e-01 7.820000000000000284e-01 8.120000000000000551e-01 8.830000000000000071e-01 8.679999999999999938e-01 8.820000000000000062e-01 9.000000000000000222e-01
1.600000000000000000e+01 1.082579993049990197e+00 7.646199999999999664e-01 4.829818603520195097e-01 8.600999999999999757e-01 1.000000000000000021e-02 9.409837065600309414e-01 8.619999999999999885e-01 9.539999999999999591e-01 7.740000000000000213e-01 6.969999999999999529e-01 8.529999999999999805e-01 8.100000000000000533e-01 9.140000000000000346e-01 9.060000000000000275e-01 9.340000000000000524e-01 8.970000000000000195e-01
1.700000000000000000e+01 1.380795368878260154e+00 6.347599999999999909e-01 6.390972609718006403e-01 7.993999999999999995e-01 1.000000000000000021e-02 9.582538656309946834e-01 8.129999999999999449e-01 9.040000000000000258e-01 6.879999999999999449e-01 6.069999999999999840e-01 7.860000000000000320e-01 7.530000000000000027e-01 8.760000000000000009e-01 8.589999999999999858e-01 8.469999999999999751e-01 8.609999999999999876e-01
1.800000000000000000e+01 1.140887342998787801e+00 7.403199999999999781e-01 5.379162443141205507e-01 8.314000000000000279e-01 1.000000000000000021e-02 9.582538656309946834e-01 8.629999999999999893e-01 9.340000000000000524e-01 7.359999999999999876e-01 6.229999999999999982e-01 8.329999999999999627e-01 7.840000000000000302e-01 9.110000000000000320e-01 8.729999999999999982e-01 8.679999999999999938e-01 8.890000000000000124e-01
1.900000000000000000e+01 1.414506469677444978e+00 6.181600000000000428e-01 6.759187263993028383e-01 7.812000000000000055e-01 1.000000000000000021e-02 9.703411977667861787e-01 8.509999999999999787e-01 9.120000000000000329e-01 6.790000000000000480e-01 6.059999999999999831e-01 7.219999999999999751e-01 6.879999999999999449e-01 8.469999999999999751e-01 8.040000000000000480e-01 8.429999999999999716e-01 8.599999999999999867e-01
2.000000000000000000e+01 1.181331414140651237e+00 7.186799999999999855e-01 5.879419278412961747e-01 8.155999999999999917e-01 1.000000000000000021e-02 9.703411977667861787e-01 8.599999999999999867e-01 9.250000000000000444e-01 7.069999999999999618e-01 6.430000000000000160e-01 7.720000000000000195e-01 7.650000000000000133e-01 8.770000000000000018e-01 8.329999999999999627e-01 8.719999999999999973e-01 9.020000000000000240e-01
