# epoch, train_loss, train_accuracy, valid_loss, valid_accuracy
5.000000000000000000e+01 2.792403414100408376e-01 8.900000000000000133e-01 5.607307195663452370e-01 8.112500000000000266e-01
5.100000000000000000e+01 2.906400777399539836e-01 8.900000000000000133e-01 6.013540816307068049e-01 7.987499999999999600e-01
5.200000000000000000e+01 2.568465751409530484e-01 9.000000000000000222e-01 6.624002707004547075e-01 7.650000000000000133e-01
5.300000000000000000e+01 2.733225080370902949e-01 8.921875000000000222e-01 6.164376813173294556e-01 7.900000000000000355e-01
5.400000000000000000e+01 2.543578935414552711e-01 9.009374999999999467e-01 6.403618288040161532e-01 7.812500000000000000e-01
5.500000000000000000e+01 2.459551674872636762e-01 9.103124999999999689e-01 5.775465732812881114e-01 7.962500000000000133e-01
5.600000000000000000e+01 2.562958581000566727e-01 9.028125000000000178e-01 6.392066872119903653e-01 7.887499999999999512e-01
5.700000000000000000e+01 2.320578809827566202e-01 9.115625000000000533e-01 6.954541373252868253e-01 7.712499999999999911e-01
5.800000000000000000e+01 2.626999520510435171e-01 8.987500000000000488e-01 6.036945956945419800e-01 7.937499999999999556e-01
5.900000000000000000e+01 2.190712482482194967e-01 9.200000000000000400e-01 5.783349138498306008e-01 8.112500000000000266e-01
6.000000000000000000e+01 2.237851817160844692e-01 9.115625000000000533e-01 6.464554780721664118e-01 7.950000000000000400e-01
6.100000000000000000e+01 2.249178985133767072e-01 9.187499999999999556e-01 5.375283539295196977e-01 8.187499999999999778e-01
6.200000000000000000e+01 2.095289260521531194e-01 9.171875000000000444e-01 6.685940635204314919e-01 8.000000000000000444e-01
6.300000000000000000e+01 2.090491461008787133e-01 9.196874999999999911e-01 6.285148811340331987e-01 8.024999999999999911e-01
6.400000000000000000e+01 2.384224488213658455e-01 9.096874999999999822e-01 6.929025626182556685e-01 7.762499999999999956e-01
6.500000000000000000e+01 2.185476330853998728e-01 9.187499999999999556e-01 6.868479323387145508e-01 7.812500000000000000e-01
6.600000000000000000e+01 2.194607955217361406e-01 9.187499999999999556e-01 5.622369891405105680e-01 8.225000000000000089e-01
6.700000000000000000e+01 2.155528871342539676e-01 9.159374999999999600e-01 6.336879420280456809e-01 7.887499999999999512e-01
6.800000000000000000e+01 1.961063048802316189e-01 9.287499999999999645e-01 7.010111725330352428e-01 7.650000000000000133e-01
6.900000000000000000e+01 2.122595535404980249e-01 9.221875000000000488e-01 5.696284532546996848e-01 8.187499999999999778e-01
7.000000000000000000e+01 1.775808556377887759e-01 9.300000000000000488e-01 6.712485861778259011e-01 7.987499999999999600e-01
7.100000000000000000e+01 1.867849275097250850e-01 9.293749999999999512e-01 7.369545781612396596e-01 7.950000000000000400e-01
7.200000000000000000e+01 2.007362899184227112e-01 9.250000000000000444e-01 6.676248931884765092e-01 7.900000000000000355e-01
7.300000000000000000e+01 1.688393716700375136e-01 9.353124999999999911e-01 6.937219732999801991e-01 7.962500000000000133e-01
7.400000000000000000e+01 1.874061628431081816e-01 9.315624999999999600e-01 5.901062312722206160e-01 8.087499999999999689e-01
7.500000000000000000e+01 1.722969128377735692e-01 9.346875000000000044e-01 5.790404507517814547e-01 8.275000000000000133e-01
