epoch train_loss train_accuracy valid_loss valid_accuracy
2.100000000000000000e+01 3.265378434211015923e-01 8.718749999999999556e-01 5.249640852212905662e-01 7.924999999999999822e-01
2.200000000000000000e+01 3.122118721902370497e-01 8.809375000000000400e-01 6.935537910461425648e-01 7.312499999999999556e-01
2.300000000000000000e+01 2.859378846734761948e-01 8.846874999999999600e-01 5.196172416210174116e-01 8.012500000000000178e-01
2.400000000000000000e+01 2.916193944960832618e-01 8.846874999999999600e-01 4.954162633419036954e-01 8.275000000000000133e-01
2.500000000000000000e+01 2.563976816460490360e-01 9.034375000000000044e-01 5.534859704971313299e-01 8.112500000000000266e-01
2.600000000000000000e+01 2.738409850746393315e-01 8.971875000000000266e-01 5.470488011837005837e-01 8.062500000000000222e-01
2.700000000000000000e+01 2.359711772948503428e-01 9.065625000000000488e-01 5.564729660749435647e-01 8.237499999999999822e-01
2.800000000000000000e+01 2.388631314784288306e-01 9.087499999999999467e-01 5.734404832124709861e-01 8.074999999999999956e-01
2.900000000000000000e+01 2.137018552795052484e-01 9.184375000000000178e-01 4.898024755716323675e-01 8.199999999999999512e-01
3.000000000000000000e+01 2.299186039716005214e-01 9.131249999999999645e-01 7.075120997428894221e-01 7.612499999999999822e-01
3.100000000000000000e+01 2.020521627366542727e-01 9.231249999999999734e-01 9.217783725261687877e-01 7.375000000000000444e-01
3.200000000000000000e+01 1.849968812614679325e-01 9.293749999999999512e-01 4.795592723786830658e-01 8.287499999999999867e-01
3.300000000000000000e+01 2.061359801515936785e-01 9.168749999999999956e-01 6.642405104637145730e-01 8.012500000000000178e-01
3.400000000000000000e+01 1.908885670080781027e-01 9.274999999999999911e-01 6.191149461269378484e-01 7.987499999999999600e-01
3.500000000000000000e+01 1.567937443777918938e-01 9.415624999999999689e-01 6.115095090866088379e-01 8.024999999999999911e-01
3.600000000000000000e+01 1.449753216467797867e-01 9.465624999999999734e-01 5.190599173307418601e-01 8.387499999999999956e-01
3.700000000000000000e+01 1.552977932244539172e-01 9.456250000000000488e-01 5.439849878847599074e-01 8.275000000000000133e-01
3.800000000000000000e+01 1.442913271673023634e-01 9.456250000000000488e-01 5.778452670574187877e-01 8.362500000000000488e-01
3.900000000000000000e+01 1.459022144321352188e-01 9.449999999999999512e-01 5.230016243457794589e-01 8.362500000000000488e-01
4.000000000000000000e+01 1.433761397935450210e-01 9.453125000000000000e-01 5.422342026233673007e-01 8.375000000000000222e-01
4.100000000000000000e+01 1.258016835711896486e-01 9.515624999999999778e-01 6.621050989627838002e-01 8.087499999999999689e-01
4.200000000000000000e+01 1.428566791303455819e-01 9.481249999999999956e-01 5.862766939401626853e-01 8.262500000000000400e-01
4.300000000000000000e+01 1.224706574622541622e-01 9.559374999999999956e-01 5.294286954402923628e-01 8.449999999999999734e-01
4.400000000000000000e+01 1.107008299604058249e-01 9.615624999999999867e-01 5.899406021833419889e-01 8.137499999999999734e-01
4.500000000000000000e+01 1.044092943612486141e-01 9.615624999999999867e-01 5.601344090700149936e-01 8.362500000000000488e-01
4.600000000000000000e+01 1.080220970883965514e-01 9.606249999999999512e-01 5.173013621568679499e-01 8.562499999999999556e-01
4.700000000000000000e+01 1.053685465455055231e-01 9.587499999999999911e-01 5.119673854112625211e-01 8.449999999999999734e-01
4.800000000000000000e+01 8.415702654048801135e-02 9.712499999999999467e-01 4.857614147663116277e-01 8.487500000000000044e-01
4.900000000000000000e+01 9.933142091613263169e-02 9.675000000000000266e-01 6.691412580013275102e-01 8.149999999999999467e-01
5.000000000000000000e+01 1.045258264942094673e-01 9.631250000000000089e-01 5.403345036506652654e-01 8.362500000000000488e-01
5.100000000000000000e+01 7.223439198918640836e-02 9.762499999999999512e-01 5.178296318650246199e-01 8.549999999999999822e-01
5.200000000000000000e+01 7.267894384451210887e-02 9.778124999999999734e-01 6.156199327111244735e-01 8.299999999999999600e-01
5.300000000000000000e+01 8.739246806129813416e-02 9.690625000000000488e-01 5.222816449403763217e-01 8.437500000000000000e-01
